Date,Open*,High,Low,Close**,Volume,Market Cap
"Oct 10, 2023",$0.2812,$0.2821,$0.2761,$0.2778,"$19,805,577","$525,956,857"
"Oct 09, 2023",$0.2972,$0.2983,$0.277,$0.2812,"$34,235,050","$532,349,597"
"Oct 08, 2023",$0.2989,$0.2998,$0.2949,$0.2972,"$16,623,406","$562,661,680"
"Oct 07, 2023",$0.3006,$0.3019,$0.2978,$0.2989,"$15,013,850","$565,925,138"
"Oct 06, 2023",$0.2932,$0.3014,$0.2932,$0.3006,"$21,122,934","$569,018,980"
"Oct 05, 2023",$0.2976,$0.2997,$0.2927,$0.2933,"$29,824,920","$555,162,359"
"Oct 04, 2023",$0.3019,$0.3019,$0.2908,$0.2976,"$38,720,564","$563,385,868"
"Oct 03, 2023",$0.3114,$0.313,$0.3017,$0.3019,"$27,856,725","$571,521,527"
"Oct 02, 2023",$0.3237,$0.3256,$0.3086,$0.3114,"$37,327,269","$589,569,736"
"Oct 01, 2023",$0.3092,$0.3262,$0.3083,$0.3237,"$32,534,991","$612,761,276"
"Sep 30, 2023",$0.316,$0.316,$0.3065,$0.3092,"$35,867,756","$585,282,913"
"Sep 29, 2023",$0.299,$0.3229,$0.2986,$0.316,"$53,916,179","$598,218,384"
"Sep 28, 2023",$0.2933,$0.2999,$0.2928,$0.299,"$58,453,531","$566,018,585"
"Sep 27, 2023",$0.2968,$0.3018,$0.2919,$0.2933,"$35,134,079","$555,285,283"
"Sep 26, 2023",$0.2988,$0.2992,$0.2932,$0.2968,"$25,484,109","$561,876,469"
"Sep 25, 2023",$0.2933,$0.3012,$0.2922,$0.2987,"$29,008,848","$565,537,229"
"Sep 24, 2023",$0.2936,$0.2996,$0.2924,$0.2933,"$39,016,859","$555,308,268"
"Sep 23, 2023",$0.2941,$0.2972,$0.2926,$0.2936,"$16,916,715","$555,771,727"
"Sep 22, 2023",$0.2936,$0.2954,$0.2912,$0.2941,"$23,619,742","$556,819,099"
"Sep 21, 2023",$0.2996,$0.3035,$0.2921,$0.2936,"$42,798,522","$555,765,492"
"Sep 20, 2023",$0.2987,$0.3017,$0.2925,$0.2996,"$29,718,139","$567,087,652"
"Sep 19, 2023",$0.2925,$0.3012,$0.2917,$0.2987,"$33,571,433","$565,480,332"
"Sep 18, 2023",$0.2889,$0.2968,$0.2861,$0.2925,"$27,243,267","$553,670,486"
"Sep 17, 2023",$0.3014,$0.3015,$0.287,$0.2889,"$24,382,951","$546,957,818"
"Sep 16, 2023",$0.2959,$0.3028,$0.2959,$0.3014,"$33,551,836","$570,571,805"
"Sep 15, 2023",$0.2893,$0.2972,$0.2879,$0.2959,"$33,736,077","$560,142,064"
"Sep 14, 2023",$0.2803,$0.2953,$0.2798,$0.2893,"$56,373,019","$547,592,024"
"Sep 13, 2023",$0.2695,$0.2812,$0.268,$0.2803,"$36,438,379","$530,632,247"
"Sep 12, 2023",$0.2694,$0.281,$0.2687,$0.2695,"$41,351,929","$510,125,308"
"Sep 11, 2023",$0.282,$0.2827,$0.2662,$0.2694,"$56,950,248","$509,961,619"
"Sep 10, 2023",$0.294,$0.294,$0.2801,$0.282,"$31,395,457","$533,760,031"
"Sep 09, 2023",$0.2932,$0.296,$0.292,$0.294,"$18,153,808","$556,582,450"
"Sep 08, 2023",$0.2981,$0.3008,$0.2913,$0.2932,"$28,418,995","$554,967,560"
"Sep 07, 2023",$0.2952,$0.2998,$0.2923,$0.298,"$30,489,801","$564,095,432"
"Sep 06, 2023",$0.2929,$0.2985,$0.2888,$0.2952,"$39,251,108","$558,807,707"
"Sep 05, 2023",$0.292,$0.2948,$0.2895,$0.2929,"$38,199,964","$554,565,199"
"Sep 04, 2023",$0.2905,$0.2962,$0.2897,$0.292,"$33,497,644","$552,733,652"
"Sep 03, 2023",$0.292,$0.2946,$0.2878,$0.2905,"$28,635,451","$549,913,149"
"Sep 02, 2023",$0.293,$0.2943,$0.2876,$0.292,"$29,157,418","$552,761,794"
"Sep 01, 2023",$0.2943,$0.2966,$0.2887,$0.293,"$34,662,562","$554,752,834"
"Aug 31, 2023",$0.3053,$0.3063,$0.2915,$0.2943,"$51,834,018","$557,214,969"
"Aug 30, 2023",$0.3138,$0.3161,$0.3041,$0.3053,"$45,369,902","$577,951,954"
"Aug 29, 2023",$0.3008,$0.317,$0.2916,$0.3138,"$56,214,608","$594,098,731"
"Aug 28, 2023",$0.2999,$0.3036,$0.2938,$0.3008,"$33,178,753","$569,462,012"
"Aug 27, 2023",$0.2993,$0.3022,$0.2975,$0.2999,"$32,117,177","$567,692,618"
"Aug 26, 2023",$0.3054,$0.3084,$0.2989,$0.2993,"$38,502,947","$566,546,216"
"Aug 25, 2023",$0.3052,$0.3061,$0.3,$0.3054,"$44,607,867","$578,069,049"
"Aug 24, 2023",$0.3112,$0.3141,$0.302,$0.3052,"$48,145,215","$577,681,708"
"Aug 23, 2023",$0.3037,$0.3141,$0.2999,$0.3112,"$49,090,406","$589,158,392"
"Aug 22, 2023",$0.3011,$0.3063,$0.2917,$0.3037,"$54,802,680","$574,852,826"
"Aug 21, 2023",$0.3084,$0.3091,$0.2968,$0.3011,"$49,732,779","$570,057,152"
"Aug 20, 2023",$0.3082,$0.311,$0.3049,$0.3085,"$35,808,268","$583,926,347"
"Aug 19, 2023",$0.3065,$0.3091,$0.3036,$0.3081,"$45,006,746","$583,355,222"
"Aug 18, 2023",$0.2963,$0.3096,$0.2957,$0.3065,"$62,278,135","$580,145,221"
"Aug 17, 2023",$0.3281,$0.3345,$0.2845,$0.2962,"$72,462,568","$560,815,338"
"Aug 16, 2023",$0.3451,$0.3453,$0.3236,$0.3282,"$55,822,026","$621,225,399"
"Aug 15, 2023",$0.3652,$0.3664,$0.3392,$0.3451,"$55,997,193","$653,297,831"
"Aug 14, 2023",$0.3661,$0.3679,$0.3623,$0.3651,"$63,332,152","$691,263,100"
"Aug 13, 2023",$0.3707,$0.3713,$0.3654,$0.3661,"$50,874,755","$692,982,254"
"Aug 12, 2023",$0.3697,$0.3722,$0.368,$0.3707,"$49,951,634","$701,750,258"
"Aug 11, 2023",$0.3668,$0.3708,$0.3654,$0.3697,"$44,496,493","$699,813,163"
"Aug 10, 2023",$0.3676,$0.3712,$0.3658,$0.3668,"$37,266,683","$694,388,659"
"Aug 09, 2023",$0.3706,$0.3736,$0.3653,$0.3676,"$45,105,400","$695,928,925"
"Aug 08, 2023",$0.3664,$0.3747,$0.3626,$0.3705,"$37,875,055","$701,477,438"
"Aug 07, 2023",$0.3738,$0.3797,$0.3589,$0.3664,"$47,537,975","$693,588,514"
"Aug 06, 2023",$0.3693,$0.3754,$0.3689,$0.3738,"$34,467,723","$707,697,018"
"Aug 05, 2023",$0.3637,$0.3696,$0.3601,$0.3693,"$24,073,803","$699,087,852"
"Aug 04, 2023",$0.3677,$0.3701,$0.3608,$0.3637,"$27,997,146","$688,599,614"
"Aug 03, 2023",$0.3733,$0.3755,$0.3667,$0.3678,"$26,597,547","$696,260,108"
"Aug 02, 2023",$0.3853,$0.3866,$0.3724,$0.3733,"$32,813,525","$706,666,847"
"Aug 01, 2023",$0.3823,$0.3868,$0.3757,$0.3854,"$41,192,179","$729,534,255"
"Jul 31, 2023",$0.3886,$0.3925,$0.3791,$0.3823,"$30,512,663","$723,707,531"
"Jul 30, 2023",$0.3914,$0.3976,$0.3834,$0.3886,"$39,065,109","$735,616,129"
"Jul 29, 2023",$0.3889,$0.3917,$0.3871,$0.3914,"$26,436,597","$740,902,096"
"Jul 28, 2023",$0.3844,$0.3911,$0.3821,$0.3889,"$26,286,609","$736,176,078"
"Jul 27, 2023",$0.3889,$0.3942,$0.3821,$0.3844,"$32,916,332","$727,781,129"
"Jul 26, 2023",$0.3863,$0.3926,$0.3815,$0.3889,"$33,283,841","$736,220,762"
"Jul 25, 2023",$0.3871,$0.3879,$0.3808,$0.3863,"$33,848,112","$731,351,033"
"Jul 24, 2023",$0.406,$0.4081,$0.3846,$0.3871,"$49,825,508","$732,903,095"
"Jul 23, 2023",$0.3969,$0.4095,$0.3955,$0.406,"$34,560,843","$768,596,071"
"Jul 22, 2023",$0.401,$0.4068,$0.3943,$0.3968,"$31,422,446","$751,245,111"
"Jul 21, 2023",$0.4,$0.404,$0.3976,$0.401,"$37,033,870","$759,165,744"
"Jul 20, 2023",$0.3998,$0.4056,$0.396,$0.4,"$49,674,202","$757,275,270"
"Jul 19, 2023",$0.4005,$0.408,$0.3972,$0.3998,"$41,808,713","$756,840,765"
"Jul 18, 2023",$0.4179,$0.4235,$0.3966,$0.4005,"$48,515,036","$758,116,041"
"Jul 17, 2023",$0.4067,$0.4196,$0.4026,$0.4179,"$50,003,721","$791,101,490"
"Jul 16, 2023",$0.4181,$0.4261,$0.4064,$0.4067,"$42,133,376","$769,992,818"
"Jul 15, 2023",$0.4142,$0.4246,$0.4062,$0.4182,"$38,088,681","$791,620,110"
"Jul 14, 2023",$0.4422,$0.4452,$0.4015,$0.4142,"$97,944,649","$784,045,229"
"Jul 13, 2023",$0.3938,$0.4423,$0.3861,$0.4422,"$99,444,923","$837,127,005"
"Jul 12, 2023",$0.3915,$0.3986,$0.388,$0.3938,"$37,783,591","$745,539,835"
"Jul 11, 2023",$0.3838,$0.3919,$0.3812,$0.3915,"$31,813,907","$741,091,461"
"Jul 10, 2023",$0.3798,$0.3922,$0.3711,$0.3838,"$36,842,339","$726,519,443"
"Jul 09, 2023",$0.3873,$0.3899,$0.3794,$0.3798,"$25,999,277","$719,067,513"
"Jul 08, 2023",$0.3819,$0.3897,$0.3808,$0.3873,"$33,888,949","$733,205,346"
"Jul 07, 2023",$0.373,$0.3833,$0.3701,$0.3818,"$33,717,875","$722,866,364"
"Jul 06, 2023",$0.3855,$0.4008,$0.3731,$0.3731,"$49,626,261","$706,226,518"
"Jul 05, 2023",$0.3972,$0.4025,$0.3794,$0.3855,"$44,213,009","$729,835,879"
"Jul 04, 2023",$0.4073,$0.4157,$0.3944,$0.3972,"$49,624,474","$751,914,139"
"Jul 03, 2023",$0.406,$0.4123,$0.4001,$0.4072,"$51,914,232","$770,961,173"
"Jul 02, 2023",$0.4178,$0.4188,$0.3982,$0.4059,"$64,924,009","$768,477,417"
"Jul 01, 2023",$0.3848,$0.4201,$0.3838,$0.4177,"$128,277,106","$790,825,146"
"Jun 30, 2023",$0.3679,$0.3896,$0.3611,$0.3848,"$77,316,386","$728,409,718"
"Jun 29, 2023",$0.3608,$0.3728,$0.3598,$0.3679,"$39,564,472","$696,489,828"
"Jun 28, 2023",$0.3889,$0.3894,$0.3567,$0.3608,"$47,945,417","$682,962,147"
"Jun 27, 2023",$0.3779,$0.3928,$0.3778,$0.3888,"$44,645,375","$735,959,841"
"Jun 26, 2023",$0.3928,$0.3931,$0.3729,$0.3779,"$53,646,792","$715,383,053"
"Jun 25, 2023",$0.4016,$0.4114,$0.391,$0.3927,"$71,985,715","$743,500,695"
"Jun 24, 2023",$0.3897,$0.429,$0.3833,$0.4016,"$138,042,634","$760,230,417"
"Jun 23, 2023",$0.3682,$0.3946,$0.3681,$0.3897,"$67,428,314","$737,691,571"
"Jun 22, 2023",$0.3727,$0.3897,$0.367,$0.3682,"$56,426,524","$697,005,837"
"Jun 21, 2023",$0.3507,$0.3753,$0.3497,$0.3727,"$65,074,486","$705,589,067"
"Jun 20, 2023",$0.3387,$0.3507,$0.3299,$0.3507,"$39,169,626","$658,740,754"
"Jun 19, 2023",$0.3359,$0.3411,$0.3318,$0.3387,"$29,818,452","$636,101,332"
"Jun 18, 2023",$0.3409,$0.3443,$0.3354,$0.3359,"$27,046,833","$630,840,413"
"Jun 17, 2023",$0.3362,$0.3481,$0.3347,$0.3409,"$28,976,109","$640,305,192"
"Jun 16, 2023",$0.333,$0.3412,$0.3277,$0.3363,"$29,841,050","$631,595,284"
"Jun 15, 2023",$0.3339,$0.3368,$0.3241,$0.333,"$36,924,956","$625,481,709"
"Jun 14, 2023",$0.3418,$0.3505,$0.3272,$0.3339,"$41,733,457","$627,102,326"
"Jun 13, 2023",$0.3429,$0.3565,$0.3394,$0.3418,"$43,030,130","$641,971,188"
"Jun 12, 2023",$0.3411,$0.3448,$0.3323,$0.3428,"$40,955,397","$643,894,662"
"Jun 11, 2023",$0.346,$0.3496,$0.3375,$0.3411,"$46,025,067","$640,771,492"
